EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Over18
1,41,Female,Single,2,Life Sciences,Y
2,49,Male,Married,1,Life Sciences,Y
4,37,Male,Single,2,Other,Y
5,33,Female,Married,4,Life Sciences,Y
7,27,Male,Married,1,Medical,Y
8,32,Male,Single,2,Life Sciences,Y
10,59,Female,Married,3,Medical,Y
11,30,Male,Divorced,1,Life Sciences,Y
12,38,Male,Single,3,Life Sciences,Y
13,36,Male,Married,3,Medical,Y
14,35,Male,Married,3,Medical,Y
15,29,Female,Single,2,Life Sciences,Y
16,31,Male,Divorced,1,Life Sciences,Y
18,34,Male,Divorced,2,Medical,Y
19,28,Male,Single,3,Life Sciences,Y
20,29,Female,Divorced,4,Life Sciences,Y
21,32,Male,Divorced,2,Life Sciences,Y
22,22,Male,Divorced,2,Medical,Y
23,53,Female,Married,4,Life Sciences,Y
24,38,Male,Single,3,Life Sciences,Y
26,24,Female,Divorced,2,Other,Y
27,36,Male,Single,4,Life Sciences,Y
28,34,Female,Single,4,Life Sciences,Y
30,21,Male,Single,2,Life Sciences,Y
31,34,Male,Single,1,Medical,Y
32,53,Female,Divorced,3,Other,Y
33,32,Female,Single,1,Life Sciences,Y
35,42,Male,Married,4,Marketing,Y
36,44,Female,Married,4,Medical,Y
38,46,Female,Single,4,Marketing,Y
39,33,Male,Single,3,Medical,Y
40,44,Male,Married,4,Other,Y
41,30,Male,Single,2,Medical,Y
42,39,Male,Married,3,Technical Degree,Y
45,24,Male,Married,3,Medical,Y
46,43,Female,Divorced,2,Medical,Y
47,50,Male,Married,2,Marketing,Y
49,35,Female,Married,3,Marketing,Y
51,36,Female,Married,4,Life Sciences,Y
52,33,Female,Married,3,Life Sciences,Y
53,35,Male,Divorced,2,Other,Y
54,27,Female,Divorced,4,Life Sciences,Y
55,26,Male,Single,3,Life Sciences,Y
56,27,Male,Single,3,Life Sciences,Y
57,30,Female,Single,2,Medical,Y
58,41,Female,Married,3,Technical Degree,Y
60,34,Male,Single,4,Marketing,Y
61,37,Male,Married,2,Life Sciences,Y
62,46,Male,Single,4,Marketing,Y
63,35,Male,Married,1,Life Sciences,Y
64,48,Male,Single,2,Life Sciences,Y
65,28,Male,Single,4,Technical Degree,Y
