EmployeeID,JobID,PersonalID,MonthlyIncome,DailyRate,HourlyRate,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1,1,1,5993,1102,94,11,8,6,4,0,5,Yes
2,2,2,5130,279,61,23,10,10,7,1,7,No
4,3,3,2090,1373,92,15,7,0,0,0,0,Yes
5,4,4,2909,1392,56,11,8,8,7,3,0,No
7,3,5,3468,591,40,12,6,2,2,2,2,No
8,5,6,3068,1005,79,13,8,7,7,3,6,No
10,3,7,2670,1324,81,20,12,1,0,0,0,No
11,3,8,2693,1358,67,22,1,1,0,0,0,No
12,6,8,9526,216,44,21,10,9,7,1,8,No
13,7,9,5237,1299,94,13,17,7,7,7,7,No
14,3,10,2426,809,84,13,6,5,4,0,3,No
15,8,11,4193,153,49,12,10,9,5,0,8,No
16,9,12,2911,670,31,17,5,5,2,4,3,No
18,3,13,2661,1346,93,11,3,2,2,1,2,No
19,3,14,2028,103,50,14,6,4,2,0,3,Yes
20,10,15,9980,1389,51,11,10,10,9,8,8,No
21,9,16,3298,334,80,12,7,6,2,0,5,No
22,11,17,2935,1123,96,13,1,1,0,0,0,No
23,12,18,15427,1219,78,16,31,25,8,3,7,No
24,9,19,3944,371,45,11,6,3,2,1,2,No
26,13,12,4011,673,96,18,5,4,2,1,3,No
27,14,20,3407,1218,82,23,10,5,3,0,3,Yes
28,15,10,11994,419,53,11,13,12,6,2,11,No
30,9,21,1232,391,96,14,0,0,0,0,0,No
31,9,15,2960,699,83,11,8,4,2,1,3,Yes
32,16,22,19094,1282,58,11,26,14,13,4,8,No
33,4,23,3919,1125,72,22,10,10,2,6,7,Yes
35,1,24,6825,691,48,11,10,9,7,4,2,No
36,17,25,10248,477,42,14,24,22,6,5,17,No
38,18,26,18947,705,83,12,22,2,2,2,1,No
39,3,21,2496,924,78,11,7,1,1,0,0,No
40,7,27,6465,1459,41,13,9,4,2,1,3,No
41,3,28,2206,125,83,13,10,10,0,1,8,No
42,19,29,2086,895,56,14,19,1,0,0,0,Yes
45,9,30,2293,813,61,16,6,2,0,2,0,Yes
46,9,31,2645,1273,72,12,6,5,3,1,4,No
47,14,32,2683,869,86,14,3,3,2,0,2,Yes
49,14,33,2014,890,97,13,2,2,2,2,2,No
51,9,34,3419,852,82,14,6,1,1,0,0,No
52,20,35,5376,1141,42,19,10,5,3,1,3,No
53,3,36,1951,464,75,12,1,1,0,0,0,No
54,3,37,2341,1240,33,13,1,1,0,0,0,No
