PersonalID,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,OverTime
1,2,4,1,1,3,Yes
2,3,2,4,3,4,No
3,4,3,2,3,3,Yes
4,4,3,3,3,3,Yes
5,1,2,4,3,3,No
6,4,4,3,2,3,No
7,3,1,1,2,4,Yes
8,4,3,2,3,4,No
9,3,3,2,2,3,No
10,1,2,3,3,3,No
11,4,3,4,3,3,Yes
12,1,3,4,2,3,No
13,2,4,3,3,3,No
14,3,3,2,3,3,Yes
15,2,1,3,3,3,No
16,1,2,4,2,3,Yes
17,4,4,2,2,3,Yes
18,1,4,3,3,3,No
19,4,4,3,3,3,Yes
20,3,1,2,3,4,No
21,3,4,4,3,3,No
22,3,3,4,2,3,No
23,2,1,2,3,4,Yes
24,3,2,4,3,3,No
25,1,4,4,3,3,No
26,2,1,4,2,3,No
27,4,4,4,4,3,Yes
28,4,3,1,3,3,No
29,4,4,3,4,3,No
30,2,4,1,2,3,Yes
31,4,3,4,2,3,No
32,1,3,3,3,3,Yes
33,4,4,1,3,3,No
34,2,1,4,4,3,Yes
35,3,1,1,3,3,No
36,3,4,3,3,3,No
37,4,1,4,3,3,No
38,1,3,3,2,3,No
39,4,3,4,3,3,No
40,3,4,4,3,4,No
41,2,3,4,3,3,No
42,2,3,3,3,4,No
43,2,2,1,3,4,No
44,1,4,3,3,4,Yes
45,4,4,4,3,3,No
46,1,3,4,3,3,Yes
47,3,3,3,2,3,Yes
48,2,1,3,2,4,Yes
49,3,1,3,3,3,Yes
50,3,4,3,2,3,Yes
51,1,4,3,3,3,Yes
52,2,1,4,2,4,No
53,4,4,4,2,4,No
54,1,3,3,4,3,No
55,1,4,2,3,4,Yes
56,2,3,4,2,3,Yes
57,1,1,4,2,3,No
58,3,3,2,3,3,No
59,2,2,3,3,3,No
60,4,3,1,2,3,Yes
61,3,2,2,3,3,No
62,2,2,2,3,3,No
63,2,4,2,3,3,No
64,3,1,2,3,3,No
65,4,1,2,4,3,Yes
66,1,3,1,4,3,No
67,2,2,4,3,4,Yes
68,4,4,3,2,3,Yes
69,2,3,1,3,3,No
70,2,4,4,3,3,Yes
71,4,4,1,2,3,No
72,3,1,3,3,3,No
73,4,4,2,3,4,No
74,3,4,1,3,3,No
75,3,2,4,2,4,No
76,3,4,4,1,4,Yes
77,3,2,2,2,3,Yes
78,3,1,3,2,3,Yes
79,1,3,1,1,3,No
80,1,3,1,2,4,No
81,2,3,2,4,3,No
82,4,3,3,2,3,No
83,2,2,3,4,3,No
84,3,1,4,3,4,Yes
85,4,4,2,3,3,Yes
86,1,3,3,3,3,No
87,3,4,4,4,3,No
88,1,2,1,2,3,Yes
89,3,3,4,3,3,Yes
90,4,4,3,3,3,No
91,1,1,3,2,4,No
92,1,3,4,3,4,Yes
93,2,3,3,3,3,No
94,3,2,3,3,3,No
95,3,1,4,3,3,No
96,1,4,1,3,4,No
97,3,4,4,4,3,Yes
98,1,3,3,2,4,No
99,3,2,1,4,3,No
100,2,2,1,3,3,Yes
101,2,3,2,2,3,Yes
102,3,2,3,2,3,No
103,4,4,4,2,3,No
104,4,3,4,2,3,Yes
105,3,1,3,2,3,No
106,2,3,3,3,3,Yes
107,3,3,3,3,3,Yes
108,3,3,4,3,4,No
109,2,2,4,3,4,No
110,4,3,3,4,3,No
111,1,3,4,3,3,No
112,3,4,4,1,3,Yes
113,1,1,1,4,4,No
114,3,4,2,2,3,No
115,4,3,2,3,4,Yes
116,4,4,4,4,3,No
117,2,4,4,3,3,No
118,4,1,2,2,3,No
119,3,1,4,3,4,No
120,2,2,4,3,3,No
121,2,2,1,3,3,No
122,3,2,1,3,3,No
123,2,3,4,1,4,Yes
124,2,2,3,1,3,No
125,2,2,2,2,4,Yes
126,3,4,1,2,3,No
127,3,3,4,3,3,No
128,3,4,1,3,4,No
129,4,2,4,1,3,No
130,3,4,3,1,3,No
131,3,4,2,1,3,Yes
132,3,3,4,2,3,Yes
133,1,3,1,3,3,No
134,1,4,3,4,4,No
135,3,3,1,3,4,No
136,3,2,4,2,3,Yes
137,3,1,1,4,4,No
138,4,2,3,2,3,No
139,3,1,1,4,3,Yes
140,3,4,1,4,3,No
141,2,4,3,2,4,No
142,2,1,3,3,4,No
143,3,4,3,3,4,Yes
144,4,2,4,3,3,No
145,2,2,4,2,4,Yes
146,4,1,3,3,3,No
147,4,3,2,3,3,No
148,4,2,3,3,3,No
149,3,3,1,3,3,No
150,4,2,4,2,3,No
151,2,3,1,3,3,Yes
152,1,4,4,3,4,No
153,2,1,1,2,3,Yes
154,4,4,1,1,3,No
155,4,4,1,3,3,Yes
156,4,3,4,4,3,Yes
157,3,4,3,4,3,Yes
158,2,1,2,3,3,Yes
159,2,4,4,2,4,No
160,4,2,1,2,3,Yes
161,2,4,1,3,3,No
162,4,4,4,1,3,No
163,3,3,3,3,4,No
164,2,2,4,1,3,No
165,4,1,3,3,3,Yes
166,4,2,4,4,3,No
167,2,4,3,3,3,Yes
168,3,3,1,4,3,No
169,2,3,4,2,3,No
170,3,4,3,1,3,Yes
171,4,4,3,3,4,Yes
172,1,3,4,4,3,Yes
173,4,3,4,1,3,Yes
174,3,3,3,3,3,No
175,3,1,1,2,3,No
176,1,4,1,3,3,No
177,3,4,3,2,3,No
178,4,1,2,3,3,No
179,1,3,2,3,3,No
180,3,2,2,4,3,No
181,2,2,3,1,4,No
182,1,3,3,1,3,No
183,1,2,2,3,3,No
184,2,4,2,3,4,No
185,2,1,4,3,3,No
186,3,4,2,3,3,Yes
187,3,4,2,4,3,No
188,4,3,1,4,3,No
189,1,4,1,3,3,Yes
190,2,2,2,2,3,No
191,1,1,3,3,4,Yes
192,3,2,1,1,4,No
193,1,2,1,2,3,No
194,2,4,1,2,3,No
195,1,1,3,3,3,Yes
196,4,4,2,3,3,No
197,4,3,4,1,4,Yes
198,1,2,4,3,3,Yes
199,4,4,4,3,4,No
200,3,1,4,3,3,Yes
201,2,4,3,2,3,Yes
202,3,2,4,4,3,No
203,4,2,2,3,3,No
204,2,4,2,2,3,No
205,3,4,3,3,3,Yes
206,1,1,4,3,3,No
207,1,1,1,3,3,No
208,3,2,1,2,3,No
209,3,2,4,3,3,Yes
210,4,3,1,3,3,Yes
211,1,4,3,2,3,No
212,1,4,4,2,3,Yes
213,2,4,3,2,3,No
214,3,3,2,4,3,No
215,2,4,3,2,4,Yes
216,2,1,4,2,3,Yes
217,4,3,3,3,3,No
218,4,2,1,3,3,Yes
219,4,2,4,3,3,Yes
220,1,4,2,3,3,No
221,4,3,1,2,3,No
222,1,3,2,1,4,No
223,3,1,1,3,3,Yes
224,4,3,2,4,3,Yes
225,1,4,2,3,4,No
226,1,2,3,3,3,Yes
227,1,4,3,2,4,No
228,3,3,3,4,3,No
229,3,3,1,3,3,Yes
230,1,4,2,2,3,Yes
231,3,1,3,3,4,No
232,2,3,2,3,3,No
233,4,1,3,2,3,No
234,2,1,2,3,3,No
235,2,3,2,3,4,No
236,1,1,3,2,3,No
237,2,1,2,1,3,No
238,4,4,1,3,4,No
239,2,4,2,3,3,Yes
240,3,1,4,2,3,No
241,1,1,3,3,3,No
242,1,4,4,2,4,No
243,3,4,3,3,4,No
244,1,1,4,1,3,No
245,3,3,3,2,3,No
246,1,2,2,3,3,Yes
247,1,4,2,1,4,No
248,1,4,3,4,3,No
249,3,1,4,4,3,No
250,3,2,4,4,4,No
251,2,3,4,4,3,Yes
252,4,2,1,3,3,No
253,2,1,3,3,3,Yes
254,2,4,4,2,3,No
255,1,2,4,3,4,No
256,2,4,3,4,3,Yes
257,4,1,4,2,4,Yes
258,4,2,2,4,3,No
259,4,4,2,4,3,No
260,3,4,3,2,4,No
261,2,2,4,3,3,Yes
262,1,3,1,3,3,Yes
263,2,4,4,4,3,No
264,4,1,2,3,3,Yes
265,1,2,4,4,4,No
266,4,2,4,3,4,No
267,2,1,3,4,3,No
268,2,1,3,1,3,No
269,1,4,4,4,4,No
270,4,3,3,2,3,Yes
271,3,4,2,3,3,No
272,4,1,1,1,3,No
273,1,3,2,4,3,No
274,4,4,1,4,3,Yes
275,1,3,4,3,4,No
276,4,1,4,4,4,No
277,2,3,1,2,3,No
278,3,4,3,1,4,No
279,3,2,3,4,3,No
280,2,2,3,3,3,Yes
281,1,1,1,3,3,Yes
282,1,1,1,4,3,No
283,4,2,3,3,4,No
284,4,4,2,3,4,Yes
285,4,1,3,3,4,Yes
286,4,1,3,2,4,No
287,3,3,4,4,3,Yes
288,3,4,4,2,4,No
289,2,1,4,4,3,No
290,3,2,3,1,3,No
291,4,4,4,2,4,Yes
292,4,1,1,4,3,No
293,4,3,2,1,3,Yes
294,3,1,1,4,3,No
295,3,4,2,2,4,No
296,2,3,4,3,3,Yes
297,4,4,3,3,4,No
298,4,1,4,3,3,Yes
299,1,1,2,3,3,No
300,4,1,2,2,3,Yes
301,1,1,4,3,3,Yes
302,1,4,2,2,3,No
303,4,3,3,3,4,No
304,3,1,3,3,4,Yes
305,2,1,4,3,3,Yes
306,3,3,4,4,3,No
307,4,4,4,3,3,Yes
308,3,4,2,2,4,Yes
309,2,2,4,2,3,No
310,3,3,2,4,4,No
311,2,2,1,3,4,Yes
312,1,1,1,3,4,No
313,2,4,4,2,3,Yes
314,1,4,4,3,3,Yes
315,4,4,1,1,4,No
316,1,4,3,2,4,Yes
317,1,1,3,3,4,No
318,1,4,4,2,3,No
319,3,4,2,2,3,Yes
320,4,4,2,2,3,No
321,3,4,1,3,4,Yes
322,4,2,3,4,3,Yes
